repo,id,number,title,state,created_at,updated_at,labels,author,body
microsoft/markitdown,3563795605,1460,المساهمة,open,2025-10-28T23:48:07Z,2025-10-28T23:48:07Z,[],asrar-mared,We are creating a new issue to fix the errors. 
microsoft/markitdown,3557142332,1459,Add Microsoft Loop file convertor,open,2025-10-27T14:43:51Z,2025-10-29T02:30:51Z,[],acmoles,"Would you consider adding a convertor for Microsoft Loop files and workspaces?

This would be particularly valuable since Loop-powered AI Pages are a first-class citizen in M365 Copilot App."
microsoft/markitdown,3548880845,1456,Integrate full support for SpeechRecognition,open,2025-10-24T11:03:38Z,2025-10-25T02:41:08Z,[],irresi,"## Problem
1. audio time greater than [1 minute](https://github.com/Uberi/speech_recognition/pull/171)
 **google speech recognition** can accept file that is less or equal than **1 minutes** and only **50 requests** are allowed per day.
  google speech recognition(not google cloud stt) is almost deprecated at all
2. Exception is handled poorly
  If audio file exceeds 1 minute then it throws error, but user can't know why this error occured.
3. No Test for audio transcription

## Solution
- Integrate full support for [SpeechRecognition](https://github.com/Uberi/speech_recognition?tab=readme-ov-file)
  - Since this project pursues to be lightweight, avoid custom logics and mapping argument to speech_recognition would be great.
  - I will add **kwargs that contains engine, model, api_key, regions, ... which are required from SpeechRecognition library 
  and match it to   SpeechRecongition Library using
  ```
  recognize_method = getattr(recognizer, f""recognize_{engine}"")
  ```
  - skip for options with offline dependency to be lightweight and align with image_converter
- Exception handling 
- Add test codes
  - skip for github_actions(CI)
## Related Issue
- #326 tried to add whisper directly, but as #1284 noted, mapping SpeechRecognition's support would be simpler and support more models as well.
- #1275 wants custom support for audio transcription as well.
- #74 If the time of the audio exceeds quota(60 seconds per request, 50 requests per day), 
recognize_google() from SpeechRecognition throws an error, but the user can't know where it came from.

## Suggestion
Asynchronous transcription and chunking would be great feature, 
but I am concerned that it might not align with the project's philosophy. ""Lightweight"""
microsoft/markitdown,3518666937,1446,Update Readme to include how to initialize Azure Document Intelligence correctly?,open,2025-10-15T15:59:41Z,2025-10-15T15:59:41Z,[],hf-fdsilva,"Could someone provide an updated readme or how to, on how to initialize the markitdown package to use Azure Document Intelligence via api key, esp with python?

the only thing I'm seeing on the readme is pointing to an endpoint, but there doesn't seem to be any documentation on what it expects for the API key if you aren't using Azure AD to auth to Doc Intel service.

The only semblence of information I found from browsing through the issues tab is this (from https://github.com/microsoft/markitdown/issues/1168):

# Initialize MarkItDown
md = MarkItDown(docintel_endpoint = AZURE_DOC_INT_ENDPOINT, 
                docintel_file_types = ['pdf'],
                docintel_credential = AzureKeyCredential(AZURE_DOC_INT_KEY))

Thanks!"
microsoft/markitdown,3502559479,1444,Running behind a corporate proxy requires additional configuration,open,2025-10-10T11:52:19Z,2025-10-10T11:52:46Z,[],GaryRogersWoodmen,"When running behind a corporate on MacOS, you'll need to add an environment variable to your `mcp.json` file.

```json
""microsoft/markitdown"": {
	""type"": ""stdio"",
	""command"": ""uvx"",
	""args"": [
		""markitdown-mcp==0.0.1a4""
	],
	""env"": {
		""SSL_CERT_FILE"": ""/Library/Application Support/VPNCLIENT/Agent/data/cacert_combined.pem""
	},
	""gallery"": ""https://api.mcp.github.com/2025-09-15/v0/servers/976a2f68-e16c-4e2b-9709-7133487f8c14"",
	""version"": ""1.0.0""
}
```

Without this `uvx` can't pull down python libraires without and error since the coproprate proxy will 'man-in-the-middle' the requests, resulting in a different cert being seen by python.

Might want to add that to the docs."
microsoft/markitdown,3493783112,1439,It also converted the line numbers in the document,open,2025-10-08T04:31:12Z,2025-10-08T04:31:12Z,[],hao203,"It also converted the line numbers in the document, such as pdf.
I think this should be improved, ignoring the line numbers or watermarks."
microsoft/markitdown,3491174033,1438,`--help` can be improved,open,2025-10-07T11:54:42Z,2025-10-07T11:56:11Z,[],AdrianVollmer,"I noticed that the startup time even when just running `markitdown --help` can be substantial (over 1s on my system).

This can be improved by avoiding top-level imports. It's quite simple, but requires to split the package, so I haven't submited a PR, as I realize it's a major decision for you to make. You can see my proof-of-concept here: https://github.com/AdrianVollmer/markitdown/commit/d57b959b00f7e16a5f3cb3a800fea36f8ef5aa7d

I'd also suggest to add [argcomplete](https://github.com/kislyuk/argcomplete) for shell completion. Example in the fish shell:

<img width=""1585"" height=""276"" alt=""Image"" src=""https://github.com/user-attachments/assets/9037dcd5-d3e9-46e7-a61c-9886d78a63f8"" />

What do you think?"
microsoft/markitdown,3481099684,1437,Add ODT file support,open,2025-10-03T13:22:05Z,2025-10-03T13:22:05Z,[],Celtic-Bytes,Would be nice to have ODT ( libreoffice) support.
microsoft/markitdown,3466188147,1434,Error trying to get markdown for any image file,open,2025-09-29T18:48:18Z,2025-10-04T00:06:59Z,[],kgreen24,"Hey all,

Using the MCP tool over docker, I get the following error trying to get markdown for any image file:

Error executing tool convert_to_markdown: File conversion failed after 1 attempts:
 - ImageConverter threw RuntimeError with message: ExifTool version 12.16 is vulnerable to CVE-2021-22204. Please upgrade to version 12.24 or later.
"
microsoft/markitdown,3465616722,1433,Publishing via Docker Hub MCP Registry,open,2025-09-29T15:50:12Z,2025-09-29T15:50:12Z,[],joaocc,"Hi,
Are there any plans to make this available via Docker Hub MCP Registry?
* https://docs.docker.com/ai/mcp-catalog-and-toolkit/catalog/#contribute-an-mcp-server-to-the-catalog
* https://github.com/docker/mcp-registry
Thanks"
